,date_of_collection,copiesperL,copiesperml
1,5/11/2020,14.28571429,14285.71429
2,5/11/2020,3.571428571,3571.428571
3,5/18/2020,357.1428571,357142.8571
4,5/25/2020,357.1428571,357142.8571
5,6/1/2020,357.1428571,357142.8571
6,6/8/2020,714.2857143,714285.7143
7,6/15/2020,666.6666667,666666.6667
8,6/22/2020,666.6666667,666666.6667
9,6/29/2020,666.6666667,666666.6667
10,7/6/2020,6666.666667,6666666.667
11,7/13/2020,6666.666667,6666666.667
12,7/20/2020,6666.666667,6666666.667
13,7/27/2020,6666.666667,6666666.667
14,8/3/2020,6666.666667,6666666.667
15,8/10/2020,6666.666667,6666666.667
16,8/17/2020,6666.666667,6666666.667
17,8/24/2020,6666.666667,6666666.667
18,8/31/2020,6666.666667,6666666.667
19,9/7/2020,6666.666667,6666666.667
20,9/14/2020,6666.666667,6666666.667
21,9/28/2020,6666.666667,6666666.667
22,10/5/2020,6666.666667,6666666.667
23,10/12/2020,6666.666667,6666666.667
24,10/19/2020,6666.666667,6666666.667
25,10/26/2020,6666.666667,6666666.667
26,11/2/2020,6666.666667,6666666.667
27,11/9/2020,1600,1600000
28,11/16/2020,1333.333333,1333333.333
29,11/23/2020,1333.333333,1333333.333
30,11/30/2020,1333.333333,1333333.333
31,12/7/2020,1333.333333,1333333.333
32,12/14/2020,1333.333333,1333333.333
33,12/21/2020,1333.333333,1333333.333
34,12/28/2020,1333.333333,1333333.333
35,1/4/2021,1333.333333,1333333.333
36,1/11/2021,1333.333333,1333333.333
37,1/25/2021,1333.333333,1333333.333
38,2/1/2021,1333.333333,1333333.333
39,2/8/2021,1333.333333,1333333.333
40,2/22/2021,1333.333333,1333333.333
41,3/1/2021,1333.333333,1333333.333
42,3/8/2021,1333.333333,1333333.333
43,3/15/2021,1333.333333,1333333.333
44,3/22/2021,1333.333333,1333333.333
45,3/29/2021,1333.333333,1333333.333
46,4/5/2021,1333.333333,1333333.333
47,4/12/2021,1333.333333,1333333.333
48,4/19/2021,1333.333333,1333333.333
49,4/26/2021,1333.333333,1333333.333
50,5/3/2021,1333.333333,1333333.333
51,5/10/2021,1333.333333,1333333.333
52,5/17/2021,1333.333333,1333333.333
53,5/24/2021,1333.333333,1333333.333
54,5/31/2021,1333.333333,1333333.333
